index;2025;2030;2035;2040;2045;2050
7987;2,21E-04;2,42E-04;2,27E-04;2,31E-04;2,35E-04;2,35E-04
7988;2,35E-04;2,97E-04;2,90E-04;2,91E-04;2,93E-04;2,93E-04
7989;1,88E-04;2,25E-04;2,29E-04;2,37E-04;2,31E-04;2,31E-04
7990;1,62E-04;2,01E-04;2,21E-04;2,17E-04;2,12E-04;2,12E-04
7991;1,56E-04;1,76E-04;1,84E-04;1,91E-04;1,81E-04;1,81E-04
7992;9,64E-05;9,44E-05;4,29E-05;4,35E-05;4,25E-05;4,25E-05
7993;4,28E-05;4,36E-05;4,38E-05;4,37E-05;4,34E-05;4,34E-05
7994;4,39E-05;4,45E-05;4,45E-05;4,37E-05;4,39E-05;4,39E-05
7995;4,56E-05;4,62E-05;4,62E-05;4,49E-05;4,57E-05;4,57E-05
7996;4,72E-05;4,81E-05;4,83E-05;4,77E-05;4,69E-05;4,69E-05
7997;5,17E-05;5,22E-05;5,23E-05;5,16E-05;5,21E-05;5,21E-05
7998;5,35E-05;5,45E-05;8,86E-05;8,40E-05;8,72E-05;8,72E-05
7999;7,18E-05;7,28E-05;2,12E-04;2,22E-04;2,10E-04;2,10E-04
8000;1,20E-04;1,24E-04;2,03E-04;2,02E-04;2,03E-04;2,03E-04
8001;1,76E-04;1,71E-04;1,33E-04;1,29E-04;1,33E-04;1,33E-04
8002;2,00E-04;1,96E-04;1,10E-04;1,04E-04;1,04E-04;1,04E-04
8003;1,73E-04;1,78E-04;1,12E-04;1,10E-04;1,04E-04;1,04E-04
8004;1,27E-04;1,34E-04;1,09E-04;1,07E-04;1,04E-04;1,04E-04
8005;1,25E-04;1,32E-04;1,04E-04;1,07E-04;1,02E-04;1,02E-04
8006;1,77E-04;1,80E-04;1,26E-04;1,26E-04;1,23E-04;1,23E-04
8007;2,16E-04;2,17E-04;1,43E-04;1,48E-04;1,48E-04;1,48E-04
8008;2,05E-04;2,10E-04;1,38E-04;1,46E-04;1,46E-04;1,46E-04
8009;1,42E-04;1,37E-04;1,03E-04;1,11E-04;1,03E-04;1,03E-04
8010;1,51E-04;1,47E-04;1,20E-04;1,26E-04;1,07E-04;1,07E-04
8011;2,25E-04;2,18E-04;2,20E-04;2,27E-04;2,12E-04;2,12E-04
8012;2,40E-04;2,39E-04;2,87E-04;2,87E-04;2,87E-04;2,87E-04
8013;1,90E-04;1,81E-04;2,42E-04;2,50E-04;2,34E-04;2,34E-04
8014;1,57E-04;1,58E-04;2,12E-04;2,12E-04;2,10E-04;2,10E-04
8015;1,41E-04;1,50E-04;1,80E-04;1,77E-04;1,88E-04;1,88E-04
8016;3,88E-05;9,35E-05;9,29E-05;3,81E-05;3,90E-05;3,90E-05
8017;3,86E-05;3,90E-05;3,86E-05;3,89E-05;3,93E-05;3,93E-05
8018;3,93E-05;3,99E-05;3,97E-05;3,94E-05;3,99E-05;3,99E-05
8019;4,04E-05;4,05E-05;4,05E-05;4,02E-05;4,06E-05;4,06E-05
8020;4,25E-05;4,28E-05;4,29E-05;4,29E-05;4,27E-05;4,27E-05
8021;4,68E-05;4,68E-05;4,71E-05;4,73E-05;4,67E-05;4,67E-05
8022;8,37E-05;4,86E-05;4,86E-05;8,29E-05;8,03E-05;8,03E-05
8023;2,05E-04;6,72E-05;6,52E-05;2,09E-04;2,03E-04;2,03E-04
8024;2,09E-04;1,16E-04;1,15E-04;1,96E-04;2,07E-04;2,07E-04
8025;1,42E-04;1,76E-04;1,62E-04;1,30E-04;1,31E-04;1,31E-04
8026;1,13E-04;1,84E-04;1,91E-04;1,04E-04;9,83E-05;9,83E-05
8027;1,11E-04;1,62E-04;1,72E-04;1,05E-04;1,00E-04;1,00E-04
8028;1,06E-04;1,19E-04;1,30E-04;9,73E-05;1,01E-04;1,01E-04
8029;9,86E-05;1,23E-04;1,24E-04;9,22E-05;9,63E-05;9,63E-05
8030;1,19E-04;1,75E-04;1,73E-04;1,16E-04;1,16E-04;1,16E-04
8031;1,33E-04;2,14E-04;2,18E-04;1,44E-04;1,41E-04;1,41E-04
8032;1,35E-04;1,99E-04;2,05E-04;1,35E-04;1,44E-04;1,44E-04
8033;1,00E-04;1,34E-04;1,35E-04;9,96E-05;1,06E-04;1,06E-04
8034;1,13E-04;1,43E-04;1,46E-04;1,10E-04;1,09E-04;1,09E-04
8035;2,21E-04;2,16E-04;2,18E-04;2,31E-04;2,19E-04;2,19E-04
8036;2,86E-04;2,28E-04;2,28E-04;2,93E-04;3,02E-04;3,02E-04
8037;2,43E-04;1,72E-04;1,82E-04;2,25E-04;2,37E-04;2,37E-04
8038;2,03E-04;1,60E-04;1,54E-04;2,11E-04;1,97E-04;1,97E-04
8039;1,74E-04;1,54E-04;1,46E-04;1,78E-04;1,83E-04;1,83E-04
8040;3,78E-05;3,72E-05;9,17E-05;9,21E-05;9,82E-05;9,82E-05
8041;3,91E-05;3,87E-05;3,95E-05;3,96E-05;3,99E-05;3,99E-05
8042;4,09E-05;4,01E-05;4,13E-05;4,10E-05;4,14E-05;4,14E-05
8043;4,27E-05;4,19E-05;4,31E-05;4,34E-05;4,31E-05;4,31E-05
8044;4,46E-05;4,44E-05;4,56E-05;4,53E-05;4,57E-05;4,57E-05
8045;4,93E-05;4,98E-05;4,97E-05;5,02E-05;4,96E-05;4,96E-05
8046;8,58E-05;8,35E-05;5,27E-05;5,23E-05;5,18E-05;5,18E-05
8047;2,10E-04;2,10E-04;7,13E-05;7,14E-05;6,96E-05;6,96E-05
8048;2,02E-04;2,12E-04;1,16E-04;1,19E-04;1,15E-04;1,15E-04
8049;1,31E-04;1,37E-04;1,72E-04;1,68E-04;1,81E-04;1,81E-04
8050;1,10E-04;1,11E-04;1,97E-04;2,01E-04;2,03E-04;2,03E-04
8051;1,10E-04;1,11E-04;1,75E-04;1,80E-04;1,75E-04;1,75E-04
8052;1,06E-04;1,11E-04;1,31E-04;1,30E-04;1,32E-04;1,32E-04
8053;9,95E-05;1,09E-04;1,24E-04;1,24E-04;1,22E-04;1,22E-04
8054;1,18E-04;1,23E-04;1,77E-04;1,88E-04;1,75E-04;1,75E-04
8055;1,41E-04;1,40E-04;2,24E-04;2,32E-04;2,20E-04;2,20E-04
8056;1,46E-04;1,40E-04;2,08E-04;2,11E-04;2,14E-04;2,14E-04
8057;1,12E-04;1,04E-04;1,40E-04;1,38E-04;1,49E-04;1,49E-04
8058;1,27E-04;1,15E-04;1,44E-04;1,43E-04;1,52E-04;1,52E-04
8059;2,40E-04;2,30E-04;2,14E-04;2,06E-04;2,23E-04;2,23E-04
8060;3,04E-04;2,98E-04;2,32E-04;2,35E-04;2,31E-04;2,31E-04
8061;2,34E-04;2,30E-04;1,83E-04;1,87E-04;1,84E-04;1,84E-04
8062;1,97E-04;1,94E-04;1,58E-04;1,63E-04;1,59E-04;1,59E-04
8063;1,78E-04;1,79E-04;1,52E-04;1,49E-04;1,50E-04;1,50E-04
8064;3,98E-05;3,92E-05;3,79E-05;9,32E-05;8,79E-05;8,79E-05
8065;3,97E-05;3,97E-05;3,89E-05;3,99E-05;3,88E-05;3,88E-05
8066;3,93E-05;3,96E-05;3,91E-05;3,96E-05;3,94E-05;3,94E-05
8067;4,06E-05;4,04E-05;3,98E-05;4,06E-05;4,03E-05;4,03E-05
8068;4,23E-05;4,20E-05;4,21E-05;4,23E-05;4,20E-05;4,20E-05
8069;4,59E-05;4,60E-05;4,65E-05;4,65E-05;4,53E-05;4,53E-05
8070;8,37E-05;8,21E-05;8,11E-05;4,75E-05;4,76E-05;4,76E-05
8071;2,01E-04;2,09E-04;2,07E-04;6,52E-05;6,42E-05;6,42E-05
8072;2,00E-04;2,08E-04;2,11E-04;1,14E-04;1,13E-04;1,13E-04
8073;1,28E-04;1,27E-04;1,32E-04;1,68E-04;1,72E-04;1,72E-04
8074;1,04E-04;9,83E-05;1,13E-04;1,93E-04;2,01E-04;2,01E-04
8075;9,93E-05;1,01E-04;1,08E-04;1,73E-04;1,67E-04;1,67E-04
8076;9,44E-05;1,02E-04;1,05E-04;1,29E-04;1,23E-04;1,23E-04
8077;9,53E-05;9,87E-05;1,02E-04;1,22E-04;1,17E-04;1,17E-04
8078;1,14E-04;1,25E-04;1,25E-04;1,81E-04;1,75E-04;1,75E-04
8079;1,42E-04;1,37E-04;1,41E-04;2,29E-04;2,13E-04;2,13E-04
8080;1,41E-04;1,42E-04;1,36E-04;2,11E-04;2,08E-04;2,08E-04
8081;1,06E-04;1,04E-04;1,06E-04;1,40E-04;1,44E-04;1,44E-04
8082;1,19E-04;1,17E-04;1,18E-04;1,45E-04;1,41E-04;1,41E-04
8083;2,33E-04;2,14E-04;2,33E-04;2,11E-04;1,95E-04;1,95E-04
8084;2,91E-04;2,75E-04;3,01E-04;2,27E-04;2,20E-04;2,20E-04
8085;2,31E-04;2,38E-04;2,22E-04;1,77E-04;1,73E-04;1,73E-04
8086;2,03E-04;2,04E-04;1,94E-04;1,48E-04;1,62E-04;1,62E-04
8087;1,74E-04;1,71E-04;1,67E-04;1,48E-04;1,49E-04;1,49E-04
8088;3,40E-05;3,42E-05;3,48E-05;3,41E-05;3,40E-05;3,40E-05
8089;3,57E-05;3,48E-05;3,56E-05;3,52E-05;3,55E-05;3,55E-05
8090;3,75E-05;3,60E-05;3,67E-05;3,59E-05;3,66E-05;3,66E-05
8091;3,85E-05;3,77E-05;3,81E-05;3,76E-05;3,80E-05;3,80E-05
8092;4,06E-05;3,95E-05;4,00E-05;3,98E-05;4,04E-05;4,04E-05
8093;4,48E-05;4,45E-05;4,42E-05;4,42E-05;4,47E-05;4,47E-05
8094;7,66E-05;8,14E-05;7,88E-05;8,01E-05;7,97E-05;7,97E-05
8095;2,05E-04;2,05E-04;2,11E-04;2,03E-04;2,03E-04;2,03E-04
8096;2,08E-04;1,95E-04;2,03E-04;2,06E-04;2,09E-04;2,09E-04
8097;1,31E-04;1,23E-04;1,27E-04;1,34E-04;1,36E-04;1,36E-04
8098;1,03E-04;1,05E-04;9,94E-05;1,06E-04;1,09E-04;1,09E-04
8099;1,06E-04;1,04E-04;9,74E-05;1,13E-04;1,09E-04;1,09E-04
8100;9,75E-05;1,03E-04;9,56E-05;1,05E-04;1,05E-04;1,05E-04
8101;9,37E-05;9,43E-05;9,96E-05;9,75E-05;1,02E-04;1,02E-04
8102;1,12E-04;1,15E-04;1,28E-04;1,24E-04;1,21E-04;1,21E-04
8103;1,34E-04;1,31E-04;1,39E-04;1,47E-04;1,42E-04;1,42E-04
8104;1,40E-04;1,36E-04;1,32E-04;1,39E-04;1,41E-04;1,41E-04
8105;1,06E-04;9,82E-05;9,53E-05;9,99E-05;1,04E-04;1,04E-04
8106;1,19E-04;1,14E-04;1,11E-04;1,05E-04;1,20E-04;1,20E-04
8107;2,26E-04;2,26E-04;2,26E-04;2,20E-04;2,30E-04;2,30E-04
8108;2,88E-04;2,83E-04;2,96E-04;2,84E-04;2,91E-04;2,91E-04
8109;2,33E-04;2,26E-04;2,33E-04;2,35E-04;2,35E-04;2,35E-04
8110;2,13E-04;1,96E-04;2,01E-04;2,18E-04;2,10E-04;2,10E-04
8111;1,72E-04;1,67E-04;1,74E-04;1,85E-04;1,74E-04;1,74E-04
8112;3,86E-05;3,80E-05;3,69E-05;3,82E-05;3,82E-05;3,82E-05
8113;3,89E-05;3,81E-05;3,85E-05;3,87E-05;3,86E-05;3,86E-05
8114;3,97E-05;3,96E-05;3,90E-05;3,96E-05;3,94E-05;3,94E-05
8115;4,02E-05;4,05E-05;4,01E-05;4,10E-05;4,09E-05;4,09E-05
8116;4,30E-05;4,24E-05;4,30E-05;4,32E-05;4,30E-05;4,30E-05
8117;4,75E-05;4,74E-05;4,73E-05;4,73E-05;4,76E-05;4,76E-05
8118;8,40E-05;8,19E-05;7,89E-05;8,33E-05;8,60E-05;8,60E-05
